Title,Rating,Description,Link
San Antonio Zoo,4.0,"Home to thousands of exotic animals, the zoo is a guaranteed hit with people of all ages. ",https://sazoo.org/
Helicopter Tour,5.0,Enjoy a bird’s-eye view of San Antonio with a 15-minute scenic helicopter flight above downtown.,https://alamohelicoptertours.com/all-flight/
Go City: Explorer Pass,4.0,Set your own pace as you go sightseeing with the San Antonio Explorer Pass by Go City.,https://gocity.com/san-antonio/en-us
SEA LIFE Admission,4.5,Be transported to an underwater world as you explore SEA LIFE San Antonio. ,https://www.visitsealife.com/san-antonio/
Indoor Skydiving,5.0,Experience the thrill of skydiving without the stress or price tag that comes with jumping out of a plane.,https://www.iflyworld.com/san-antonio/
